Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Individual and family influences on the rehabilitation process","International Journal for the Advancement of Counselling","","12","2","10.1007/BF00117214","S. C. Robertson","1989","http://link.springer.com/article/10.1007/BF00117214","Article"
"The Dynamics Between Value Co-creation and Value Co-destruction in Business Service Networks","Marketing at the Confluence between Entertainment and Analytics","","","","10.1007/978-3-319-47331-4_259","Chavi C.-Y. Fletcher-ChenLoïc PléXia Zhu","2017","http://link.springer.com/chapter/10.1007/978-3-319-47331-4_259","Chapter"
"Schools of Innovation Thought","Innovating in Practice","","","","10.1007/978-3-319-43380-6_2","Cristina MeleTiziana Russo-SpenaMaaria NuutinenKatri Kallio","2017","http://link.springer.com/chapter/10.1007/978-3-319-43380-6_2","Chapter"
"Media Management and Social Media Business: New Forms of Value Creation in the Context of Increasingly Interconnected Media Applications","Handbook of Social Media Management","","","","10.1007/978-3-642-28897-5_15","Reinhard KunzStefan Werning","2013","http://link.springer.com/chapter/10.1007/978-3-642-28897-5_15","Chapter"
"Assessment of Teen Pregnancy Prevention Interventions Among Middle School Youth","Child and Adolescent Social Work Journal","","21","1","10.1023/B:CASW.0000012349.79750.b6","Svetlana YampolskayaEric C. BrownAmy C. Vargo","2004","http://link.springer.com/article/10.1023/B%3ACASW.0000012349.79750.b6","Article"
"The EEE encounter model: Applying the service dominant logic to B2B e-marketplaces","Journal of Service Science Research","","3","1","10.1007/s12927-011-0003-9","Mari Anjeli LubricaMuriati MukhtarSalha Abdullah","2011","http://link.springer.com/article/10.1007/s12927-011-0003-9","Article"
"The effects of customer participation in co-created service recovery","Journal of the Academy of Marketing Science","","36","1","10.1007/s11747-007-0059-8","Beibei DongKenneth R. EvansShaoming Zou","2008","http://link.springer.com/article/10.1007/s11747-007-0059-8","Article"
"Value","The Palgrave Encyclopedia of Strategic Management","","","","10.1057/978-1-349-94848-2_451-1","Paul P. Maglio","2016","http://link.springer.com/referenceworkentry/10.1057/978-1-349-94848-2_451-1","ReferenceWorkEntry"
"The Shelleys and Spain","Spain in British Romanticism","","","","10.1007/978-3-319-64456-1_9","Joselyn M. Almeida","2018","http://link.springer.com/chapter/10.1007/978-3-319-64456-1_9","Chapter"
"Opening up innovation: the impact of contextual factors on the co-creation of IT-enabled value adding services within the manufacturing industry","Information Systems and e-Business Management","","9","2","10.1007/s10257-010-0144-2","Ulrika H. Westergren","2011","http://link.springer.com/article/10.1007/s10257-010-0144-2","Article"
"Theoretical Framework","Remote Service Technology Perception and its Impact on Customer-Provider Relationships","","","","10.1007/978-3-8349-6936-1_3","Stefanie Paluch","2012","http://link.springer.com/chapter/10.1007/978-3-8349-6936-1_3","Chapter"
"Which controls are better for service outsourcing? Integrating service-dominant logic and service characteristics","AMS Review","","4","3 - 4","10.1007/s13162-014-0060-6","Subroto RoyK. Sivakumar","2014","http://link.springer.com/article/10.1007/s13162-014-0060-6","Article"
"Organization Theories Can Inform Research on the Marketing Organization","Boundary-Spanning Marketing Organization","","","","10.1007/978-1-4614-3819-9_3","G. Tomas M. Hult","2011","http://link.springer.com/chapter/10.1007/978-1-4614-3819-9_3","Chapter"
"Service, value networks and learning","Journal of the Academy of Marketing Science","","38","1","10.1007/s11747-008-0131-z","Robert F. LuschStephen L. VargoMohan Tanniru","2010","http://link.springer.com/article/10.1007/s11747-008-0131-z","Article"
"Innovating as a Texture of Practices","Innovating in Practice","","","","10.1007/978-3-319-43380-6_6","Cristina MeleTiziana Russo-Spena","2017","http://link.springer.com/chapter/10.1007/978-3-319-43380-6_6","Chapter"
"Value Creation in an SME from a Traditional Industry: It All Adds Up","Value Creation in International Business","","","","10.1007/978-3-319-39369-8_14","Svetla MarinovaMarin Marinov","2017","http://link.springer.com/chapter/10.1007/978-3-319-39369-8_14","Chapter"
"Fair Trade in France: From Individual Innovators to Contemporary Networks","Journal of Business Ethics","","90","4","10.1007/s10551-010-0594-y","Nil Özçağlar-ToulouseAmina Béji-BécheurPatrick E. Murphy","2009","http://link.springer.com/article/10.1007/s10551-010-0594-y","Article"
"The Role of Aquatic Microcosms in Ecotoxicologic Research as Illustrated by Large Marine Systems","Ecotoxicology: Problems and Approaches","","","","10.1007/978-1-4612-3520-0_15","Juanita N. Gearing","1989","http://link.springer.com/chapter/10.1007/978-1-4612-3520-0_15","Chapter"
"Rethinking Social CRM Design: A Service-Dominant Logic Perspective","Handbook of Strategic e-Business Management","","","","10.1007/978-3-642-39747-9_32","Hong-Mei ChenStephen L. Vargo","2014","http://link.springer.com/chapter/10.1007/978-3-642-39747-9_32","Chapter"
"Exploring multi-actor value creation in IT service processes","Journal of Information Technology","","29","2","10.1057/jit.2014.1","Heikki LempinenRisto Rajala","2014","http://link.springer.com/article/10.1057/jit.2014.1","Article"
"Queen primer pheromone affects conspecific fire ant (Solenopsis invicta) aggression","Behavioral Ecology and Sociobiology","","51","2","10.1007/s002650100417","Robert K. Vander MeerLeeanne E. Alonso","2002","http://link.springer.com/article/10.1007/s002650100417","Article"
"The Relationship Between Value Co-Creation, Exchange and Stakeholders","Market Driven Political Advertising","","","","10.1007/978-3-319-77730-6_2","Andrew Hughes","2018","http://link.springer.com/chapter/10.1007/978-3-319-77730-6_2","Chapter"
"Value","The Palgrave Encyclopedia of Strategic Management","","","","10.1057/978-1-137-00772-8_451","Paul P. Maglio","2018","http://link.springer.com/referenceworkentry/10.1057/978-1-137-00772-8_451","ReferenceWorkEntry"
"Mechanisms of inbreeding avoidance in the one-piece drywood termite Neotermes chilensis","Insectes Sociaux","","62","2","10.1007/s00040-015-0399-1","D. Aguilera-OlivaresL. Flores-PradoD. VélizH. M. Niemeyer","2015","http://link.springer.com/article/10.1007/s00040-015-0399-1","Article"
"Managing the co-creation of value","Journal of the Academy of Marketing Science","","36","1","10.1007/s11747-007-0070-0","Adrian F. PayneKaj StorbackaPennie Frow","2008","http://link.springer.com/article/10.1007/s11747-007-0070-0","Article"
"Reproduction, dominance, and caste: endocrine profiles of queens and workers of the ant Harpegnathos saltator","Journal of Comparative Physiology A","","197","11","10.1007/s00359-011-0667-0","Clint A. PenickJürgen LiebigColin S. Brent","2011","http://link.springer.com/article/10.1007/s00359-011-0667-0","Article"
"Ok, we have the Resources, But what Next? A Conceptual Model of the Effects of Project Team Activities on Customer Perceived Value","Marketing Dynamism & Sustainability: Things Change, Things Stay the Same…","","","","10.1007/978-3-319-10912-1_50","Daniel D Prior","2015","http://link.springer.com/chapter/10.1007/978-3-319-10912-1_50","Chapter"
"Innovation and service-dominant logic","Service Business","","12","3","10.1007/s11628-018-0369-6","Kun-Huang HuarngAmparo CerveraFrancisco Mas-Verdu","2018","http://link.springer.com/article/10.1007/s11628-018-0369-6","Article"
"Customer experience quality: an exploration in business and consumer contexts using repertory grid technique","Journal of the Academy of Marketing Science","","39","6","10.1007/s11747-010-0219-0","Fred LemkeMoira ClarkHugh Wilson","2011","http://link.springer.com/article/10.1007/s11747-010-0219-0","Article"
"Four Axiomatic Requirements for Service Systems Research","Service Systems Science","","","","10.1007/978-4-431-54267-4_4","David ReynoldsIrene CL Ng","2015","http://link.springer.com/chapter/10.1007/978-4-431-54267-4_4","Chapter"
"The Brand-As-Verb Phenomenon, Our Genericidal Pastime: Searching for the Truth Behind Googling, Xeroxing, Fedexing, and Much More","Celebrating America’s Pastimes: Baseball, Hot Dogs, Apple Pie and Marketing?","","","","10.1007/978-3-319-26647-3_47","R. Wixel BarnwellKevin J. Shanahan","2016","http://link.springer.com/chapter/10.1007/978-3-319-26647-3_47","Chapter"
"Service Innovationservice innovation
               and Customer Co-development","Handbook of Service Science","","","","10.1007/978-1-4419-1628-0_24","Bo EdvardssonAnders GustafssonPer KristenssonLars Witell","2010","http://link.springer.com/chapter/10.1007/978-1-4419-1628-0_24","Chapter"
"The evolving brand logic: a service-dominant logic perspective","Journal of the Academy of Marketing Science","","37","3","10.1007/s11747-009-0143-3","Michael A. MerzYi HeStephen L. Vargo","2009","http://link.springer.com/article/10.1007/s11747-009-0143-3","Article"
"Servicedominante Orientierung als Antezedenz kundenkomplementärer Marketingkompetenzen","Erfolgreiches Management von Marketingagenturen im Wandel","","","","10.1007/978-3-658-04252-3_3","Axel Averdung","2014","http://link.springer.com/chapter/10.1007/978-3-658-04252-3_3","Chapter"
"Designing Competitive Service Models","Service Design and Delivery","","","","10.1007/978-1-4419-8321-3_5","Veronica MartinezTrevor Turner","2011","http://link.springer.com/chapter/10.1007/978-1-4419-8321-3_5","Chapter"
"Initiating value co-creation: Dealing with non-receptive customers","Journal of the Academy of Marketing Science","","46","5","10.1007/s11747-018-0577-6","Avinash MalsheScott B. Friend","2018","http://link.springer.com/article/10.1007/s11747-018-0577-6","Article"
"Grazing of Acartia hudsonica (A. clausi) on Skeletonema costatum in Narragansett Bay (USA): Influence of food concentration and temperature","Marine Biology","","60","2 - 3","10.1007/BF00389153","E. E. Deason","1980","http://link.springer.com/article/10.1007/BF00389153","Article"
"Criminal Marketing: An Inhuman Side of Business","Humanistic Marketing","","","","10.1057/9781137353290_8","Nils BageliusEvert Gummesson","2014","http://link.springer.com/chapter/10.1057/9781137353290_8","Chapter"
"Using an age-based lens to test the antecedents of value in retail","der markt","","51","2 - 3","10.1007/s12642-011-0071-x","Alison M. Dean PhDSylvie E. Rolland PhD","2012","http://link.springer.com/article/10.1007/s12642-011-0071-x","Article"
"Proposal, project, practice, pause: Developing a framework for evaluating smart domestic product engagement","AMS Review","","8","1 - 2","10.1007/s13162-017-0089-4","Tony WoodallJulie RosboroughJohn Harvey","2018","http://link.springer.com/article/10.1007/s13162-017-0089-4","Article"
"The challenge of conceptual modeling for product–service systems: status-quo and perspectives for reference models and modeling languages","Information Systems and e-Business Management","","8","1","10.1007/s10257-008-0108-y","Jörg BeckerDaniel F. BeverungenRalf Knackstedt","2010","http://link.springer.com/article/10.1007/s10257-008-0108-y","Article"
"Scanning electron microscopy of dialysis tubes incubated in flowing seawater","Marine Biology","","31","2","10.1007/BF00391623","G. A. VargoP. E. HargravesP. Johnson","1975","http://link.springer.com/article/10.1007/BF00391623","Article"
"The corticostriatal system mediates the “paradoxical” contraversive rotation but not the striatal hyperexpression of Fos induced by amphetamine early after 6-hydroxydopamine lesion of the nigrostriatal pathway","Experimental Brain Research","","120","2","10.1007/s002210050389","E. Lopez-MartinG. RozasJ. RodriguezM. J. GuerraJ. L. Labandeira-Garcia","1998","http://link.springer.com/article/10.1007/s002210050389","Article"
"Continuous and Co-creative Business Model Creation","Service Business Model Innovation in Healthcare and Hospital Management","","","","10.1007/978-3-319-46412-1_14","Seppo KuulaHarri Haapasalo","2017","http://link.springer.com/chapter/10.1007/978-3-319-46412-1_14","Chapter"
"Auf der Suche nach der richtigen Marketinglogik","Marketing Review St. Gallen","","27","6","10.1007/s11621-010-0091-9","","2010","http://link.springer.com/article/10.1007/s11621-010-0091-9","Article"
"Relationship of queen number and worker size in polygyne colonies of the fire antSolenopsis invicta","Insectes Sociaux","","43","3","10.1007/BF01242931","M. A. D. GoodismanK. G. Ross","1996","http://link.springer.com/article/10.1007/BF01242931","Article"
"„Hybride Wertschöpfung“ - vom Industrieproduzenten zum Lösungsanbieter -ein State-of-the-Art Bericht","Schmalenbachs Zeitschrift für betriebswirtschaftliche Forschung","","64","65","10.1007/BF03373006","Dr. Sebastian BonnemeierProf. Dr. Prof. h.c. Dr. h.c. Ralf Reichwald","2012","http://link.springer.com/article/10.1007/BF03373006","Article"
"Introduction","International Place Branding Yearbook 2012","","","","10.1057/9781137282552_1","Frank M. GoRobert Govers","2013","http://link.springer.com/chapter/10.1057/9781137282552_1","Chapter"
"On the move towards customer-centric business models in the automotive industry - a conceptual reference framework of shared automotive service systems","Electronic Markets","","","","10.1007/s12525-018-0321-6","Marcus GriegerAndré Ludwig","2018","http://link.springer.com/article/10.1007/s12525-018-0321-6","Article"
"Customer Participation in Firms’ Internationalization Strategy: Linking AAA to CCC","Schmalenbach Business Review","","63","3","10.1007/BF03396830","Zelal AtesChristiane Prange","2011","http://link.springer.com/article/10.1007/BF03396830","Article"
"Implications of Low-Cost Country Sourcing: An Explanatory Study","Low-Cost Country Sourcing","","","","10.1007/978-3-8350-9527-4_5","","2007","http://link.springer.com/chapter/10.1007/978-3-8350-9527-4_5","Chapter"
"Service Ecosystems Innovation in Systemic Perspective: Transitions and Coevolutions","Service Innovation","","","","10.1007/978-4-431-54922-2_3","Kyoichi KijimaMarja ToivonenSampsa Ruutu","2016","http://link.springer.com/chapter/10.1007/978-4-431-54922-2_3","Chapter"
"Resource allocation, brood production and cannibalism during colony founding in the fire ant,Solenopsis invicta","Behavioral Ecology and Sociobiology","","33","4","10.1007/BF02027118","Walter R. Tschinkel","1993","http://link.springer.com/article/10.1007/BF02027118","Article"
"Clarifying the Concept of Smart Service System","Handbook of Service Science, Volume II","","","","10.1007/978-3-319-98512-1_16","Chiehyeon LimPaul P. Maglio","2019","http://link.springer.com/chapter/10.1007/978-3-319-98512-1_16","Chapter"
"Institutionalization Process of Service Innovation: Overcoming Competing Institutional Logics in Service Ecosystems","Handbook of Service Science, Volume II","","","","10.1007/978-3-319-98512-1_22","Elina JaakkolaLeena Aarikka-StenroosPaavo Ritala","2019","http://link.springer.com/chapter/10.1007/978-3-319-98512-1_22","Chapter"
"Changing the Rules of the Game in Healthcare Through Service Design","Service Design and Service Thinking in Healthcare and Hospital Management","","","","10.1007/978-3-030-00749-2_2","Josina VinkMaíra Prestes JolyKatarina Wetter-EdmanBård TronvollBo Edvardsson","2019","http://link.springer.com/chapter/10.1007/978-3-030-00749-2_2","Chapter"
"Queen dimorphism and reproductive strategies in the fire ant Solenopsis geminata (Hymenoptera: Formicidae)","Behavioral Ecology and Sociobiology","","36","6","10.1007/BF00177332","Donald A. McInnesWalter R. Tschinkel","1995","http://link.springer.com/article/10.1007/BF00177332","Article"
"Dispersal and mating strategies in two neotropical soil-feeding termites, Embiratermes neotenicus and Silvestritermes minutus (Termitidae, Syntermitinae)","Insectes Sociaux","","65","2","10.1007/s00040-018-0606-y","R. FougeyrollasK. DolejšováJ. KřivánekD. Sillam-DussèsY. RoisinR. HanusV. Roy","2018","http://link.springer.com/article/10.1007/s00040-018-0606-y","Article"
"Internet of Services","Evolution of Telecommunication Services","","","","10.1007/978-3-642-41569-2_14","Javier SorianoChristoph HeitzHans-Peter HutterRafael FernándezJuan J. HierroJuergen VogelAndy EdmondsThomas Michael Bohnert","2013","http://link.springer.com/chapter/10.1007/978-3-642-41569-2_14","Chapter"
"Laying the Foundation for an Ecosystem of Creativity Marketing","Marketing Dynamism & Sustainability: Things Change, Things Stay the Same…","","","","10.1007/978-3-319-10912-1_12","Marie TaillardMinas Kastanakis","2015","http://link.springer.com/chapter/10.1007/978-3-319-10912-1_12","Chapter"
"The Internationalization Process in Service Companies","Implementing International Services","","","","10.1007/978-3-8349-6445-8_2","Prof. Dr. Bo EdvardssonLeif EdvinssonProf. Dr. Harry Nyström","2012","http://link.springer.com/chapter/10.1007/978-3-8349-6445-8_2","Chapter"
"Practices for Involving Organizational Customers in Service Innovation","The Handbook of Service Innovation","","","","10.1007/978-1-4471-6590-3_27","Heidi M. E. KorhonenIlari Kaarela","2015","http://link.springer.com/chapter/10.1007/978-1-4471-6590-3_27","Chapter"
"The Resource-Service-System Model for Service Science","Advances in Conceptual Modeling – Applications and Challenges","","","","10.1007/978-3-642-16385-2_15","Geert Poels","2010","http://link.springer.com/chapter/10.1007/978-3-642-16385-2_15","Chapter"
"Family Psychotherapy After a Brain Tumor","Psychotherapy for Families after Brain Injury","","","","10.1007/978-1-4899-8083-0_7","Pamela S. Klonoff","2014","http://link.springer.com/chapter/10.1007/978-1-4899-8083-0_7","Chapter"
"The Value Concept Over Time And In The Perception Of Brazilian Management Students","Marketing Dynamism & Sustainability: Things Change, Things Stay the Same…","","","","10.1007/978-3-319-10912-1_92","Flávio Régio Brambilla","2015","http://link.springer.com/chapter/10.1007/978-3-319-10912-1_92","Chapter"
"Rodent posterior parietal cortex as a component of a cortical network mediating directed spatial attention","Psychobiology","","26","2","10.3758/BF03330596","James V. CorwinRoger L. Reep","1998","http://link.springer.com/article/10.3758/BF03330596","Article"
"Introduction to the Experience Logic: Key Concepts and Contents","The Experience Logic as a New Perspective for Marketing Management","","","","10.1007/978-3-319-77550-0_1","Tonino PencarelliFabio Forlani","2018","http://link.springer.com/chapter/10.1007/978-3-319-77550-0_1","Chapter"
"Employees and Users as Resource Integrators in Service Innovation: A Learning Framework","The Handbook of Service Innovation","","","","10.1007/978-1-4471-6590-3_9","Mervi HasuMarja ToivonenTiina TuominenEveliina Saari","2015","http://link.springer.com/chapter/10.1007/978-1-4471-6590-3_9","Chapter"
"Correction to: S-D logic–informed customer engagement: integrative framework, revised fundamental propositions, and application to CRM","Journal of the Academy of Marketing Science","","47","1","10.1007/s11747-018-0605-6","Linda D. HollebeekRajendra K. SrivastavaTom Chen","2019","http://link.springer.com/article/10.1007/s11747-018-0605-6","Article"
"A definition for gamification: anchoring gamification in the service marketing literature","Electronic Markets","","27","1","10.1007/s12525-015-0212-z","Kai HuotariJuho Hamari","2017","http://link.springer.com/article/10.1007/s12525-015-0212-z","Article"
"Recognition, Queer Politics and a Liveable Life","Subjectivity, Gender and the Struggle for Recognition","","","","10.1057/9781137425997_7","Paddy McQueen","2015","http://link.springer.com/chapter/10.1057/9781137425997_7","Chapter"
"Organizational intellectual capital and its relation to frontline service employee innovative behavior: consumer value co-creation behavior as a moderator","Service Business","","12","4","10.1007/s11628-018-0387-4","Cindy Yunhsin ChouChin Hsiu HuangTzu-An Lin","2018","http://link.springer.com/article/10.1007/s11628-018-0387-4","Article"
"Service Marketing Phenomena in the Context of Private Forest Owners—a Service Dominant Logic Perspective on Scholarly Literature","Current Forestry Reports","","4","3","10.1007/s40725-018-0081-8","Sami Berghäll","2018","http://link.springer.com/article/10.1007/s40725-018-0081-8","Article"
"Growth rates of summer nanoplankton (<10 μm) populations in lower Narragansett Bay, Rhode Island, USA","Marine Biology","","70","1","10.1007/BF00397301","M. J. Furnas","1982","http://link.springer.com/article/10.1007/BF00397301","Article"
"It is all about services-fundamentals, drivers, and business models","Journal of Service Science Research","","5","2","10.1007/s12927-013-0004-y","Sebastian KaczorNatalia Kryvinska","2013","http://link.springer.com/article/10.1007/s12927-013-0004-y","Article"
"Relational marketing in knowledge-intensive business services: an analysis of the computer services sector","Knowledge Management Research & Practice","","14","3","10.1057/kmrp.2014.35","Ettore BolisaniAlberto DonòEnrico Scarso","2016","http://link.springer.com/article/10.1057/kmrp.2014.35","Article"
"ReThinking Studying Marketing","ReThinking Management","","","","10.1007/978-3-658-16983-1_10","Björn Bohnenkamp","2017","http://link.springer.com/chapter/10.1007/978-3-658-16983-1_10","Chapter"
"Customer engagement in service","Journal of the Academy of Marketing Science","","47","1","10.1007/s11747-017-0565-2","V. KumarBharath RajanShaphali GuptaIlaria Dalla Pozza","2019","http://link.springer.com/article/10.1007/s11747-017-0565-2","Article"
"Unusual Behavior of Polygyne Fire Ant Queens on Nuptial Flights","Journal of Insect Behavior","","13","3","10.1023/A:1007770404496","Michael A. D. GoodismanChristopher J. DeHeerKenneth G. Ross","2000","http://link.springer.com/article/10.1023/A%3A1007770404496","Article"
"Cuticular hydrocarbons and reproductive status in the social wasp Polistes dominulus","Behavioral Ecology and Sociobiology","","49","5","10.1007/s002650000311","Matthew F. SledgeFrancesca BoscaroStefano Turillazzi","2001","http://link.springer.com/article/10.1007/s002650000311","Article"
"Resource Attraction and Marketing by Associations","The Palgrave Handbook of Volunteering, Civic Participation, and Nonprofit Associations","","","","10.1007/978-1-137-26317-9_39","Ian W. BruceMikko LaamanenRobert AshcraftMarian Min CHENIrina MersianovaHanna NelDavid H. Smith","2016","http://link.springer.com/chapter/10.1007/978-1-137-26317-9_39","Chapter"
"The Application of Value Co-Creation in Advancing Solutions to Sustainable Consumption","The Sustainable Global Marketplace","","","","10.1007/978-3-319-10873-5_42","Kerry ChippGinny Verran","2015","http://link.springer.com/chapter/10.1007/978-3-319-10873-5_42","Chapter"
"Why Projects Fail, from the Perspective of Service Science","7th International Conference on Knowledge Management in Organizations: Service and Cloud Computing","","","","10.1007/978-3-642-30867-3_38","Ronald StanleyLorna Uden","2013","http://link.springer.com/chapter/10.1007/978-3-642-30867-3_38","Chapter"
"Customer’s role in knowledge management and in the innovation process: effects on innovation capacity and marketing results","Knowledge Management Research & Practice","","14","2","10.1057/kmrp.2015.19","Pilar FidelAmparo CerveraWalesska Schlesinger","2016","http://link.springer.com/article/10.1057/kmrp.2015.19","Article"
"Kin conflict over caste determination in social Hymenoptera","Behavioral Ecology and Sociobiology","","46","5","10.1007/s002650050622","Andrew F. G. BourkeFrancis L. W. Ratnieks","1999","http://link.springer.com/article/10.1007/s002650050622","Article"
"Market Innovation: Renewal of Traditional Industrial Networks","Innovating in Practice","","","","10.1007/978-3-319-43380-6_4","Suvi NenonenKristian MöllerKaj Storbacka","2017","http://link.springer.com/chapter/10.1007/978-3-319-43380-6_4","Chapter"
"Extraordinary starvation resistance in Temnothorax rugatulus (Hymenoptera, Formicidae) colonies: Demography and adaptive behavior","Insectes Sociaux","","52","3","10.1007/s00040-005-0804-2","O. RueppellR. W. Kirkman","2005","http://link.springer.com/article/10.1007/s00040-005-0804-2","Article"
"A Tale of Two Cities: How High Streets Can Prevail in the Digital Age","Collaboration in the Digital Age","","","","10.1007/978-3-319-94487-6_14","Jörg BeckerJan H. BetzingMoritz von HoffenMarco Niemann","2019","http://link.springer.com/chapter/10.1007/978-3-319-94487-6_14","Chapter"
"A consideration of the process of co-creation of value with customers","Artificial Life and Robotics","","14","2","10.1007/s10015-009-0732-8","Yoshirou Fujioka","2009","http://link.springer.com/article/10.1007/s10015-009-0732-8","Article"
"Surface lipids of queen-laid eggs do not regulate queen production in a fission-performing ant","Naturwissenschaften","","100","1","10.1007/s00114-012-0997-y","Camille RuelAlain LenoirXim CerdáRaphaël Boulay","2013","http://link.springer.com/article/10.1007/s00114-012-0997-y","Article"
"How to fool a virgin: Artificial dealation triggers oviposition in virgin Lasius niger queens","Insectes Sociaux","","53","3","10.1007/s00040-006-0875-8","S. JemielityJ. GräffL. Keller","2006","http://link.springer.com/article/10.1007/s00040-006-0875-8","Article"
"Competition between invasive and indigenous species: an insular case study of subterranean termites","Biological Invasions","","13","6","10.1007/s10530-010-9906-5","E. PerdereauF. DedeineJ.-P. ChristidèsS. DupontA.-G. Bagnères","2011","http://link.springer.com/article/10.1007/s10530-010-9906-5","Article"
"A Multilayer Framework for Service System Analysis","Handbook of Service Science, Volume II","","","","10.1007/978-3-319-98512-1_13","Robert Blair FrostMichael ChengKelly Lyons","2019","http://link.springer.com/chapter/10.1007/978-3-319-98512-1_13","Chapter"
"Insights from Service Innovation Thinkers","Innovating in a Service-Driven Economy","","","","10.1057/9781137409034_3","Richard CuthbertsonPeder Inge FursethStephen J. Ezell","2015","http://link.springer.com/chapter/10.1057/9781137409034_3","Chapter"
"Assessing the value of commonly used methods for measuring customer value: a multi-setting empirical study","Journal of the Academy of Marketing Science","","42","4","10.1007/s11747-013-0363-4","Sara Leroi-WereldsSandra StreukensMichael K. BradyGilbert Swinnen","2014","http://link.springer.com/article/10.1007/s11747-013-0363-4","Article"
"Production of sexuals in a fission-performing ant: dual effects of queen pheromones and colony size","Behavioral Ecology and Sociobiology","","61","10","10.1007/s00265-007-0385-3","Raphaël BoulayAbraham HefetzXim CerdáSéverine DeversWittko FranckeRobert TweleAlain Lenoir","2007","http://link.springer.com/article/10.1007/s00265-007-0385-3","Article"
"A Journey Through Possible Views of Relational Logic","Social Dynamics in a Systems Perspective","","","","10.1007/978-3-319-61967-5_11","Marco PellicanoMaria V. CiasulloOrlando TroisiGian Luca Casali","2018","http://link.springer.com/chapter/10.1007/978-3-319-61967-5_11","Chapter"
"Key Dimensions of Service Systems in Value-Creating Networks","The Science of Service Systems","","","","10.1007/978-1-4419-8270-4_3","Cristina MeleFrancesco Polese","2011","http://link.springer.com/chapter/10.1007/978-1-4419-8270-4_3","Chapter"
"Toward a Marketing Perspective on How ‘Active Employees’ Create Valuable Human Resource Management Outcomes: The Role of HRM Consumption and Psychological Ownership","Theoretical Orientations and Practical Applications of Psychological Ownership","","","","10.1007/978-3-319-70247-6_9","Jeroen MeijerinkAnna Bos-Nehles","2017","http://link.springer.com/chapter/10.1007/978-3-319-70247-6_9","Chapter"
"The Use of Experimental Ecosystems for Evaluating the Environmental Impact of Pollutants: A Comparison of an Oil Spill in the Baltic Sea and Two Long-Term, Low-Level Oil Addition Experiments in Mesocosms","Marine Mesocosms","","","","10.1007/978-1-4612-5645-8_11","Ragnar ElmgrenJeffrey B. Frithsen","1982","http://link.springer.com/chapter/10.1007/978-1-4612-5645-8_11","Chapter"
"Summary of findings and implications","Stakeholder Integration in Service Innovation","","","","10.1007/978-3-658-19463-5_7","Julia M. Jonas","2018","http://link.springer.com/chapter/10.1007/978-3-658-19463-5_7","Chapter"
"A Service Perspective on IBM’s Brand","Marketing Review St. Gallen","","27","6","10.1007/s11621-010-0098-2","Paul P. MaglioStefan NusserKevin Bishop","2010","http://link.springer.com/article/10.1007/s11621-010-0098-2","Article"
"Effect of selective media on recovery of obligately anaerobic gram-negative rods from human faeces","Antonie van Leeuwenhoek","","49","4 - 5","10.1007/BF00399320","J. G. H. Ruseler-Van EmbdenH. C. Both-Patoir","1983","http://link.springer.com/article/10.1007/BF00399320","Article"
"Growth rates and the salinity response of an Antarctic ice microflora community","Polar Biology","","5","4","10.1007/BF00446092","G. A. VargoK. FanningC. HeilL. Bell","1986","http://link.springer.com/article/10.1007/BF00446092","Article"
"Innovating in Practices","Service Innovation","","","","10.1007/978-4-431-54922-2_6","Tiziana Russo-SpenaCristina Mele","2016","http://link.springer.com/chapter/10.1007/978-4-431-54922-2_6","Chapter"
"Health Myths and Service-Dominant Logic","The Myths of Health Care","","","","10.1007/978-3-319-53600-2_12","Evert GummessonGerardine DoyleAlessandra StorlazziCarmela AnnarummaGiuseppe FavrettoAurelio TommasettiMassimiliano Vesci","2018","http://link.springer.com/chapter/10.1007/978-3-319-53600-2_12","Chapter"
"The service system is the basic abstraction of service science","Information Systems and e-Business Management","","7","4","10.1007/s10257-008-0105-1","Paul P. MaglioStephen L. VargoNathan CaswellJim Spohrer","2009","http://link.springer.com/article/10.1007/s10257-008-0105-1","Article"
"Geographical distribution, genetic diversity and social organization of a new European termite, Reticulitermes urbis (Isoptera: Rhinotermitidae)","Biological Invasions","","12","5","10.1007/s10530-009-9555-8","Laurianne LeniaudFranck DedeineApolline PichonSimon DupontAnne-Geneviève Bagnères","2010","http://link.springer.com/article/10.1007/s10530-009-9555-8","Article"
"Improving service of online health information provision: A case of usage-driven design for health information portals","Information Systems Frontiers","","17","3","10.1007/s10796-014-9507-4","Bang Viet NguyenFrada BursteinJulie Fisher","2015","http://link.springer.com/article/10.1007/s10796-014-9507-4","Article"
"Market (Re)creation Through Innovation and Entrepreneurship","Celebrating America’s Pastimes: Baseball, Hot Dogs, Apple Pie and Marketing?","","","","10.1007/978-3-319-26647-3_82","Melissa Archpru AkakaSharon AlvarezHans KjellbergSuvi NenonenKaj StorbackaStephen L. VargoPeter WhalenSusan Young","2016","http://link.springer.com/chapter/10.1007/978-3-319-26647-3_82","Chapter"
"Customer participation to co-create value in human transformative services: a study of higher education and health care services","Service Business","","10","3","10.1007/s11628-015-0285-y","Le Nguyen HauPham Ngoc Thuy","2016","http://link.springer.com/article/10.1007/s11628-015-0285-y","Article"
