BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,DOI
6,"","Kosaka2012","Kosaka, M.; Zhang, Q.; Dong, W.; Wang, J.","Service value co-creation model considering experience based on service field concept","",,,"July","724--729",2012,"","","","Proc. ICSSSM12","","","","","","","","","","","","","","customer satisfaction, customer services, service value cocreation model, service field concept, user satisfaction, value in use concept, electro-magnetic field analogy, physics, B-to-B collaborations, KIKI model, energy saving services business, collaboration model, Collaboration, Inverters, Data models, Spirals, Companies, Analytical models, service field, experience, service dominant logic, energy saving service","","","10.1109/ICSSSM.2012.6252335"
6,"","Konno2012","Konno, S.","Service oriented organizational management system for an information systems business","",,,"July","738--743",2012,"","","","Proc. ICSSSM12","","","","","","","","","","","","","","commerce, decision making, formal logic, globalisation, information systems, organisational aspects, quality management, service-oriented architecture, service oriented organizational management system, information systems business, globalization, decision making, service quality, value-in-use concept, goods dominant logic, GDL, Organizations, Decision making, Information systems, Standards organizations, Technological innovation, Optimization, decision support, decision matrix, value in use, outsourcing, service value creation, service quality, IT Governance, IT Management, repository, IT assessment, IT organization","","","10.1109/ICSSSM.2012.6252338"
6,"","Forrester2012","Forrester, E. C.","Beyond Service Management: The Next Performance Advantage for All Disciplines","",,,"September","1--3",2012,"","","","Proc. Eighth Int. Conf. the Quality of Information and Communications Technology","","","","","","","","","","","","","","Capability Maturity Model, information technology, service management, worldwide economy, information technology, capability maturity model integration for services, CMMI-SVC, CMMI models, service, CMMI, capability, maturity, model, modeling, process, improvement, servitization, service-dominant logic","","","10.1109/QUATIC.2012.23"
6,"","Clavier2012","Clavier, P. R.; Lotriet, H. H.; van Loggerenberg, J. J.","Business Intelligence Challenges in the Context of Goods- and Service-Dominant Logic","",,,"January","4138--4147",2012,"","","","Proc. 45th Hawaii Int. Conf. System Sciences","","","","","","","","","","","","","","competitive intelligence, business intelligence challenge identification, goods-dominant logic, service-dominant logic, G-D Logic, BI technology, Bismuth, Context, Business, Interviews, Documentation, Process control, Lenses, Business Intelligence (BI), Service-Dominant (S-D) Logic, Goods-Dominant (G-D) Logic, BI challenges, BI perceptions","","","10.1109/HICSS.2012.138"
6,"","Cedergren2012","Cedergren, S. I.; Elfving, S. W.; Eriksson, J.; Parida, V.","Analysis of the industrial product-service systems (IPS2) literature: A systematic review","",,,"June","733--740",2012,"","","","Proc. IEEE Int. Conf. Management of Innovation Technology (ICMIT)","","","","","","","","","","","","","","knowledge management, value engineering, industrial product-service system, industrial goods-delivering company, intangible offerings, value creation networks, knowledge management, business model, Companies, Systematics, Manufacturing, Context, Databases, Abstracts, Industrial product-service systems, IPS2, Service-dominant logic, Product-service system","","","10.1109/ICMIT.2012.6225897"
6,"","Zhang2011","Zhang, Q.; Kosaka, M.; Yabutani, T.","A model of service value co-creation based on a new concept of service fields in service systems","",,,"June","1--6",2011,"","","","Proc. ICSSSM11","","","","","","","","","","","","","","service industries, service value cocreation, service fields, service systems, user characteristics, user objectives, service dominant logic, Collaboration, Organizations, Humans, Receivers, Atmospheric modeling, Proposals, service value, service field, co-creation, effective information","","","10.1109/ICSSSM.2011.5959460"
6,"","Sawatani2011","Sawatani, Y.; Fujigaki, Y.","Service research model for value co-creation","",,,"July","1--10",2011,"","","","Proc. PICMET '11: Technology Management in the Energy Smart World (PICMET) 2011","","","","","","","","","","","","","","customer services, innovation management, manufacturing industries, marketing, organisational aspects, service research model, value cocreation, service economy, research and development organization, manufacturing company, service business, social structure, service innovation, service-dominant logic, service marketing, customer service system, Technological innovation, Companies, Manufacturing, Collaboration, Focusing","","",""
6,"","Novani2011","Novani, S.; Kijima, K.","Service Value Created by Customers' Information Exchange About Provider: Agent Based Simulation Approach","",,,"March","252--260",2011,"","","","Proc. Annual SRII Global Conf","","","","","{IEEE}","","","","","","","","","customer services, game theory, genetic algorithms, Internet, service-oriented architecture, service value, customer information exchange, agent based simulation approach, service system science, value cocreation phenomenon, service dominant logic, service innovation, SNS, Internet, airline ticket, adaptive learning model, hypergame model, subjective game, genetic algorithm, Adaptation models, Games, Nash equilibrium, Atmospheric modeling, Genetic algorithms, Biological cells, Internet, Service system science, Value co-creation, co-experience, co-definition, Agent-based simulation, Hypergame, Adaptive Learning","","","10.1109/SRII.2011.37"
6,"","Naruse2011","Naruse, H.; Kosaka, M.","Application of Technology Intelligence from the viewpoint of service value creation: Strategic planning of financial information system using TI","",,,"June","1--5",2011,"","","","Proc. ICSSSM11","","","","","","","","","","","","","","competitive intelligence, decision making, financial data processing, information analysis, information dissemination, information systems, strategic planning, technology management, technology intelligence, service value creation, strategic planning, financial information system, decision making, management concerns, information needs identification, information collection, information dissemination, information analysis, goods dominant logic, service dominant logic, context aware service, value-in-context service, Decision making, Barium, Technology planning, Context, Information systems, Organizations, technology intelligence, service dominant logic, financial information system","","","10.1109/ICSSSM.2011.5959461"
6,"","Hsieh2011","Hsieh, P.; Yuan, S.","Regional Tourism Service Ecosystem Development: A Co-Creation and Imagery Based Approach","",,,"May","267--271",2011,"","","","Proc. Int. Joint Conf. Service Sciences","","","","","","","","","","","","","","customer services, ecology, organisational aspects, small-to-medium enterprises, sustainable development, travel industry, regional tourism service ecosystem development, imagery based approach, employment, economy, service cooperation, SME, service-dominant logic, SDL, sustainability, CoopeVision technology, destination image theory, metaphor theory, color theory, regional tourism development, system dynamic simulations, Business, Ecosystems, Image color analysis, Technological innovation, Computational modeling, Industries, Productivity, Service System, Service Dominant Logic, Metaphor, Destination Image, Regional Tourism","","","10.1109/IJCSS.2011.60"
6,"","Edvardsson2011","Edvardsson, B.; Ng, G.; Min, C. Z.; Firth, R.; Yi, D.","How is a Service Based on Service-dominant Design Superior to Goods-dominant Design?","",,,"May","282--286",2011,"","","","Proc. Int. Joint Conf. Service Sciences","","","","","","","","","","","","","","customer satisfaction, customer services, marketing, service-dominant design, goods-dominant design, service-dominant logic, SDL-based service system, GDL-based service system, online journey planning system, value cocreation, Planning, Organizations, Context, System analysis and design, Data mining, Feature extraction, Layout, service-dominant logic, value co-creation, service system design principles, sentiment analysis, customer experience","","","10.1109/IJCSS.2011.63"
6,"","Doan2011","Doan, M. C.; Kosaka, M.","A proposal of new service mediator model based on service dominant logic","",,,"June","1--6",2011,"","","","Proc. ICSSSM11","","","","","","","","","","","","","","information services, service industries, service mediator model, service dominant logic, goods-dominant logic perspective, service science, modern economies, information service business, business value cocreation, Barium, Information services, Companies, Spirals, Analytical models, Collaboration, service field, service mediator, service dominant logic, information service","","","10.1109/ICSSSM.2011.5959465"
6,"","Ching2011","Ching, R. K. H.; Hui, A. C.; Chen, J.","The Study of Service Co-creation","",,,"May","116--119",2011,"","","","Proc. Int. Joint Conf. Service Sciences","","","","","","","","","","","","","","customer services, collaboration dynamics, DART model, SD-logic, relational view theory, B2B context, service innovations, service dominant logic, service cocreation, cocreation dynamics, Technological innovation, Industries, Context, Innovation management, Collaboration, Educational institutions, Co-creation Dynamics, Relational view, Service Dominant Logic","","","10.1109/IJCSS.2011.30"
6,"","Adeleke2011","Adeleke, I. A.; AbdulRahman, A.","Co-creation of value: Applying the paradigm to government e-service","",,,"November","1--6",2011,"","","","Proc. Int. Conf. Research and Innovation in Information Systems","","","","","","","","","","","","","","customer services, government data processing, government e-service delivery, Internet usage, service dominant logic, government agency, e-service application, value cocreation, Government, Internet, Information systems, Humans, Context, Collaboration, Co-creation of value, service provider, customer, e-service, Service Dominant Logic","","","10.1109/ICRIIS.2011.6125716"
6,"","Wang2010","Wang, X.; Bao, G.; Jia, X.","A Brief Study on the Research of Service Science Theory","",,,"May","248--252",2010,"","","","Proc. Int. Conf. Service Sciences","","","","","","","","","","","","","","Technological innovation, Conference management, Logic, Economic indicators, Manufacturing automation, Manufacturing industries, Engineering management, Communications technology, Globalization, Employment, service science, service dominant logic, service system","","","10.1109/ICSS.2010.31"
6,"","Salleh2010","Salleh, C. N.; Yahya, Y.; Alaa, M.; Altemimi, H.; Mukhtar, M.","Value co-creation: Embedding the value elements in critical success factor for e-government system development","",1,,"June","1--5",2010,"","","","Proc. Int. Symp. Information Technology","","","","","","","","","","","","","","customer satisfaction, government data processing, human factors, e-government system development, electronic government, critical success factor, human factor, CSF, service dominant logic, experience co-creation value, value-in-use, Electronic government, Customer satisfaction, Book reviews, Availability, Information systems, Co-Creation Value, Critical Success Factor, e-government and S-D Logic","","","10.1109/ITSIM.2010.5561356"
6,"","Mu2010","Mu, L.; Yao, T.; Zheng, Q.","Does Satisfaction Really Influence Loyalty? ----Based on Meta-Analysis","",,,"August","1--4",2010,"","","","Proc. Int. Conf. Management and Service Science","","","","","","","","","","","","","","behavioural sciences, customer satisfaction, satisfaction dominant logic, meta-analytical method, behavioral loyalty, attitudinal loyalty, Customer satisfaction, Switches, Correlation, Mouth, Book reviews, Industries, Psychology","","","10.1109/ICMSS.2010.5577234"
6,"","Ismail2010","Ismail, M. N.; Yahya, Y.; Mukhtar, M.; Zahrawi, A. A.; Zakaria, M. S.","A service science approach for eLearning","",1,,"June","1--4",2010,"","","","Proc. Int. Symp. Information Technology","","","","","","","","","","","","","","computer aided instruction, Internet, learning management system, LMS, Web-based e-learning system, Least squares approximation, Electronic learning, Educational institutions, Social network services, Materials, Interviews, Learning Management System, Service-dominant logic, value co-creation, e-learning","","","10.1109/ITSIM.2010.5561335"
6,"","Hsieh2010a","Hsieh, Y.; Yuan, S.","A S-D Logic Based Approach to Input-Output Analysis for Technology Spillover","",,,"January","1--10",2010,"","","","Proc. 43rd Hawaii Int. Conf. System Sciences","","","","","","","","","","","","","","innovation management, quality of service, service industries, S-D logic based approach, input-output analysis approach, technology spillover, manufacture industries, service industries, service economics, service-dominant logic, service innovation, quality of service, Logic, Manufacturing industries, Manufacturing automation, Productivity, Appropriate technology, Companies, Management information systems, Machinery production industries, Technological innovation, Information analysis","","","10.1109/HICSS.2010.30"
6,"","Hsieh2010","Hsieh, P.; Hsu, S.; Yuan, S.","Customer-Driven SMEs Co-operation: A Service Dominant Logic Perspective","",,,"May","392--397",2010,"","","","Proc. Int. Conf. Service Sciences","","","","","","","","","","","","","","customer satisfaction, customer services, performance evaluation, small-to-medium enterprises, customer driven SME cooperation, service dominant logic perspective, medium size enterprise, small size enterprise, customer satisfaction, performance evaluation criteria, cooperation performance, service system, Logic, Customer satisfaction, Management information systems, Costs, Bridges, Environmental economics, Humans, Information technology, Collaboration, Performance analysis","","","10.1109/ICSS.2010.43"
6,"","Cao2010","Cao, Huaqing","An approach to academic library service quality evaluation based on fuzzy linguistic quantifier","",2,,"May","141--144",2010,"","","","Proc. Photonics and Energy Engineering (OPEE) 2010 Int. Conf. Optics","","","","","","","","","","","","","","academic libraries, customer satisfaction, decision making, fuzzy logic, fuzzy set theory, academic library service quality evaluation, service activities, consumer satisfaction, consumers assessments, fuzzy variable, fuzzy multiple attribute decision making method, fuzzy linguistic quantifier, Libraries, Decision making, Fuzzy set theory, Photonics, Power engineering and energy, Power generation economics, Environmental economics, Quality management, Engineering management, Humans, service quality evaluation, fuzzy linguistic quantifier, fuzzy variable, fuzzy simulation","","","10.1109/OPEE.2010.5508075"
6,"","Zhang2009","Zhang, K.; Ma, B.; Dong, P.","Notice of Retraction lt;br gt;Drivers and Implications of Service Science","",,,"September","1--5",2009,"","","","Proc. Int. Conf. Management and Service Science","","","","","","","","","","","","","","economics, service science, service innovation, business processes, service dominant logic, Technological innovation, Logic, Companies, Engineering management, Productivity, Information management, Information analysis, Government, Manufacturing processes, Virtual manufacturing","","","10.1109/ICMSS.2009.5305824"
6,"","Schmidt2009","Schmidt, R.; Kieninger, A.","DYNSEA — A dynamic service-oriented Enterprise Architecture based on S-D-logic","",,,"September","290--296",2009,"","","","Proc. 13th Enterprise Distributed Object Computing Conf. Workshops","","","","","","","","","","","","","","commerce, formal languages, dynamic service-oriented enterprise architecture, S-D-logic, enterprise strategy, economic exchange, service dominant logic, interacting service system, prosumer, DYNSEA service system, meta services, Logic, Computer architecture, Production, Service oriented architecture, Information systems, Information technology, Resource management, Technology management, Enterprise resource planning, Decision making, Enterprise Architecture, Service, S-D-Logic","","","10.1109/EDOCW.2009.5331982"
6,"","Chou2009","Chou, C. M.","Service offering, perceived value and value driver in semiconductor foundry industry: An exploratory study","",,,"December","1268--1272",2009,"","","","Proc. IEEE Int. Conf. Industrial Engineering and Engineering Management","","","","","","","","","","","","","","foundries, semiconductor industry, service offering, perceived value, value driver, semiconductor foundry industry, semiconductor manufacturing service providers, service-dominant logic thinking, Foundries, Manufacturing industries, Logic, Costs, Electronics industry, Manufacturing processes, Technology management, Semiconductor device manufacture, Large-scale systems, Portfolios, Perceived value, foundry service, value driver","","","10.1109/IEEM.2009.5373008"
6,"","Brocke2009","Brocke, H.; Hau, T.; Vogedes, A.; Schindlholzer, B.; Uebernickel, F.; Brenner, W.","Design Rules for User-Oriented IT Service Descriptions","",,,"January","1--10",2009,"","","","Proc. 42nd Hawaii Int. Conf. System Sciences","","","","","","","","","","","","","","customer services, DP industry, economies of scale, service industries, user-oriented IT service descriptions, IT service providers, product commoditization, economies of scale, customer demand, service dominant logic, Costs, Portfolios, Economies of scale, Standardization, Manufacturing industries, Logic, Automobiles, Guidelines, Prototypes, Companies","","","10.1109/HICSS.2009.147"
6,"","Yu2008","Yu, Yiqing; Yuan, Lili","Co-management of brand identity and customer experiences","",,,"November","1021--1023",2008,"","","","Proc. 9th Int. Conf. Computer-Aided Industrial Design and Conceptual Design","","","","","","","","","","","","","","innovation management, marketing, brand identity comanagement, marketing goods-dominant logic, service-dominant logic, brand relationship, innovative product, Logic design, Context modeling, Context-aware services, Product design, Educational institutions, Customer relationship management, Innovation management, Identity management systems, Monitoring, Advertising, Co-management, Brand management, Customer experiences, Brand identity","","","10.1109/CAIDCD.2008.4730736"
6,"","Raweewan2008","Raweewan, M.; Jr., W. G. Ferrell","How amp;``Hard Science amp;'' and Engineering Enhance Service-Dominant Economy","",,,"December","718--723",2008,"","","","Proc. IEEE Asia-Pacific Services Computing Conf","","","","","","","","","","","","","","customer satisfaction, user centred design, service-dominant economy, IT enabler services, globalization, free trade, offshore outsourcing, customer satisfaction, customer relationship management, Supply chains, Customer satisfaction, Design engineering, Globalization, Internet, Trade agreements, Outsourcing, Supply chain management, Technology management, Customer relationship management, Service science, SSME, service-dominant logic, industrial engineering, supply chain, customer satisfaction, user-centered design","","","10.1109/APSCC.2008.158"
7,"","Miles2008","Miles, I.","Patterns of innovation in service industries","IBM Systems Journal",47,1,"","115--128",2008,"","","","","","","","","","","","","","","","","","","","","10.1147/sj.471.0115"
7,"","Lusch2008","Lusch, R. F.; Vargo, S. L.; Wessels, G.","Toward a conceptual foundation for service science: Contributions from service-dominant logic","IBM Systems Journal",47,1,"","5--14",2008,"","","","","","","","","","","","","","","","","","","","","10.1147/sj.471.0005"
6,"","Kudithipudi2008","Kudithipudi, Dhireesha; John, E.","On estimation of static power-peformance in TCAM","",,,"August","783--786",2008,"","","","Proc. 51st Midwest Symp. Circuits and Systems","","","","","","","","","","","","","","CMOS integrated circuits, content-addressable storage, protocols, quality of service, ternary content addressable memories, TCAM circuits, static power-performance, network security, quality of service, network routers switches, Internet Protocol, optimizing dynamic power, power dissipation, CMOS technology, Transistors, Leakage current, Random access memory, Delay, Logic gates, Threshold voltage, MOSFETs","","","10.1109/MWSCAS.2008.4616916"
6,"","Li2007","Li, J.; Yang, X.; Ding, Y.; Zhu, X.","Distribute Service Components into Multi-level Architecture from Legacy Applications","",,,"November","1134--1140",2007,"","","","Proc. Int. Conf. Convergence Information Technology (ICCIT 2007)","","","","","","","","","","","","","","distributed processing, object-oriented programming, software architecture, software maintenance, distribute service components, multilevel architecture, legacy applications, information systems, business logic, legacy system, system low maintainability, loose coupling, service oriented architecture, IT architecture, reusable software components, component connectivity strength metric, distribute data, relevant service components, Service oriented architecture, Information systems, Logic, Clustering algorithms, Degradation, Information technology, Computer architecture, Application software, Educational institutions, Computer science","","","10.1109/ICCIT.2007.221"
7,"","Choi2007","Choi, K.; Lee, Y.; Moon, J.; Park, C.; Harashima, F.","Development of an Automatic Stencil Inspection System Using Modified Hough Transform and Fuzzy Logic","IEEE Transactions on Industrial Electronics",54,1,"February","604--611",2007,"","","","","","","","","","","","","","","","","","error compensation, fuzzy logic, Hough transforms, inspection, printed circuit manufacture, printing, robot vision, solders, surface mount technology, automatic stencil inspection system, modified Hough transform, fuzzy logic, solder paste printing, surface-mounted device pads, printed circuit board, precise X-Y robot, vision system, position error, Inspection, Fuzzy logic, Error correction, Robot vision systems, Error analysis, Moon, Printed circuits, Machine vision, Printing, Service robots, Automatic inspection system, fuzzy logic, modified Hough transformation (MHT), stencil (metal mask)","","","10.1109/TIE.2006.885494"
6,"","Brady2007","Brady, M.; Fellenz, M. R.","The Service Paradox: Supporting Service Supply Chains with Product-oriented ICT","",,,"August","1--6",2007,"","","","Proc. and Informatics 2007 IEEE Int. Conf. Service Operations and Logistics","","","","","","","","","","","","","","Supply chains, Educational institutions, Radiofrequency identification, Supply chain management, Paper technology, Logic, Production, Joining processes, Collaboration, Communications technology, ICT, RFID, service supply chains","","","10.1109/SOLI.2007.4383866"
6,"","Jung2005","Jung, Myung-Chul; Cho, Sung-Bae","A novel method based on behavior network for Web service composition","",,,"August","6 pp.-",2005,"","","","Proc. Int. Conf. Next Generation Web Services Practices (NWeSP'05)","","","","","","","","","","","","","","Internet, knowledge based systems, behavior network, Web resources, Web service composition, dynamic service sequences, Amazon Web services, Web services, XML, Simple object access protocol, Web and internet services, Access protocols, Computer science, Information resources, HTML, Logic, Transport protocols","","","10.1109/NWESP.2005.8"
6,"","Subramonian2004","Subramonian, V.; Gill, C.","A generative programming framework for adaptive middleware","",,,"January","10 pp.-",2004,"","","","Proc. 37th Annual Hawaii Int. Conf. System Sciences","","","","","","","","","","","","","","middleware, quality of service, formal logic, configuration management, object-oriented programming, generative programming, adaptive middleware, QoS-aware component model, DRE system middleware, first order logic, infrastructure configuration logic, aspect configuration infrastructure, model-integrated computing, reflective middleware, system aspects, Middleware, Quality of service, Object oriented modeling, Logic programming, Real time systems, Logic design, Computer science, XML, Simple object access protocol, Contracts","","","10.1109/HICSS.2004.1265639"
6,"","Rao2004","Rao, R. M.; Burns, J. L.; Brown, R. B.","Analysis and optimization of enhanced MTCMOS scheme","",,,"January","234--239",2004,"","","","Proc. 17th Int Conf. VLSI Design","","","","","","","","","","","","","","CMOS logic circuits, threshold logic, leakage currents, circuit optimisation, MOSFET, probability, optimization, multi threshold CMOS, complementary metal oxide semiconductor, gate leakage reduction, subthreshold leakage reduction, probability, forced stacking, transistors, Stacking, Gate leakage, Degradation, USA Councils, Guidelines, Energy consumption, Integrated circuit technology, Power generation, Threshold voltage, Turning","","","10.1109/ICVD.2004.1260930"
6,"","Greenwood2004","Greenwood, D.; Calisti, M.","Engineering Web service - agent integration","",2,,"October","1918--1925 vol.2",2004,"","","","Proc. Man and Cybernetics (IEEE Cat 2004 IEEE Int. Conf. Systems No.04CH37583)","","","","","","","","","","","","","","Internet, software agents, transport protocols, internetworking, engineering Web service, agent integration, Internet protocol, software agents, gateway architecture, Web services, Paper technology, Simple object access protocol, Software agents, XML, Context-aware services, Java, Web sites, Humans, Logic","","","10.1109/ICSMC.2004.1399962"
6,"","Orriens2003","Orriens, B.; Yang, Jian; Papazoglou, M. P.","ServiceCom: a tool for service composition reuse and specialization","",,,"December","355--358",2003,"","","","Proc. Fourth Int. Conf. Web Information Systems Engineering WISE 2003","","","","","","","","","","","","","","Internet, electronic commerce, software tools, formal specification, ServiceCom, service composition reuse, service composition specialization, Web services, distributed computing, electronic business, service providers, application developers, BPEL4WS, modularity support, reusability support, service composition specification, service composition construction, service composition execution, Internet, Web services, Packaging, Application software, Distributed computing, Web and internet services, Software engineering, Logic programming, Java, Specification languages, Runtime","","","10.1109/WISE.2003.1254510"
7,"","Rahlf2021","Rahlf, Thomas","Statistical Inference","Handbook of Cliometrics",,,"January","",2021,"","","http://dx.doi.org/10.1007/978-3-642-40458-0_16-2","","","","","","Springer","","","","","","","Statistical and, subsequently, econometric inferences have not undergone a cumulative, progressive process. We have seen instead the emergence of a number of different views, which have often been confused with each other in textbook literature on the subject. It therefore makes sense to approach the issue from a historical-scientific angle rather than a systematic one. We intend, using the extraordinarily complex development as a basis, to give a historical overview of the emergence of concepts that are of particular importance from the point of view of cliometrics. We shall start by describing the beginnings of modern probability theory, along with its connection with other statistical approaches. The following overview covers the basic principles of the current concepts of inference developed by R. A. Fisher on one hand and by J. Neyman and E. S. Pearson on the other. Neo-Bayesian approaches have meanwhile been developed in parallel, although they were not taken into account during the initial founding phase of econometrics. A “classic” approach was instead adopted in this respect, albeit with an additional difficulty: the taking into account of time. Cliometrics initially followed a Bayesian approach, but this did not finally prevail. Following on from econometrics, a correspondingly classic, inference-based position was adopted. This chapter concludes with a reference to a fundamental critique of the classic position by Rudolf Kalman, which we also find very promising as an inference-related concept for cliometrics. We often quote authors directly, in an effort to portray developments more vividly.","","","","","10.1007/978-3-642-40458-0_16-2"
7,"","Rahlf2021a","Rahlf, Thomas","Statistical Inference","Handbook of Cliometrics",,,"January","",2021,"","","http://dx.doi.org/10.1007/978-3-642-40458-0_16-1","","","","","","Springer","","","","","","","Statistical and, subsequently, econometric inferences have not undergone a cumulative, progressive process. We have seen instead the emergence of a number of different views, which have often been confused with each other in textbook literature on the subject. It therefore makes sense to approach the issue from a historical-scientific angle rather than a systematic one. We intend, using the extraordinarily complex development as a basis, to give a historical overview of the emergence of concepts that are of particular importance from the point of view of cliometrics. We shall start by describing the beginnings of modern probability theory, along with its connection with other statistical approaches. The following overview covers the basic principles of the current concepts of inference developed by R. A. Fisher on one hand and by J. Neyman and E. S. Pearson on the other. Neo-Bayesian approaches have meanwhile been developed in parallel, although they were not taken into account during the initial founding phase of econometrics. A “classic” approach was instead adopted in this respect, albeit with an additional difficulty: the taking into account of time. Cliometrics initially followed a Bayesian approach, but this did not finally prevail. Following on from econometrics, a correspondingly classic, inference-based position was adopted. This chapter concludes with a reference to a fundamental critique of the classic position by Rudolf Kalman, which we also find very promising as an inference-related concept for cliometrics. We often quote authors directly, in an effort to portray developments more vividly.","","","","","10.1007/978-3-642-40458-0_16-1"
7,"","Bakhtiyarov2021","Bakhtiyarov, Sayavur I.","The Earth’s Natural Protective System: Van Allen Radiation Belts","Handbook of Cosmic Hazards and Planetary Defense",,,"January","",2021,"","","http://dx.doi.org/10.1007/978-3-319-02847-7_19-1","","","","","","Springer","","","","","","","In this chapter the reviews of radiation electron anomalies and seismic activities, remediation of natural and artificial radiation belts, and feasibility of an electric generator converting kinetic energy of particles of the radiation belts into electric power are provided.","","","","","10.1007/978-3-319-02847-7_19-1"
7,"","Napolitano2021","Napolitano, Giulio","Administrative Law","Encyclopedia of Law and Economics",,,"January","",2021,"","","http://dx.doi.org/10.1007/978-1-4614-7883-6_526-1","","","","","","Springer","","","","","","","The law and economics literature has traditionally paid very little attention to administrative law history and rules.Economic analysis of law, however, can provide a useful explanation of the logic of administrative law, beyond the purely legal top-down approach. On one side, administrative law provides public bodies with all the needed powers and prerogatives to face and overcome different types of market failures. On the other side, administrative law is a typical regulatory device aiming to face some structural and functional distortions of bureaucracy, as a multi-principal agent. From this economic (and political) point of view, administrative law is much less stable than what it is usually thought to be. Frequent changes in both substantive and procedural rules can be explained as the outcome of repeated interactions among the legislator, the bureaucrats and the private stakeholders.","","","","","10.1007/978-1-4614-7883-6_526-1"
7,"","Eloranta2021","Eloranta, Jari","Cliometric Approaches to War","Handbook of Cliometrics",,,"January","",2021,"","","http://dx.doi.org/10.1007/978-3-642-40458-0_4-1","","","","","","Springer","","","","","","","This article is a review of the many perspectives from history, political science, sociology, and economics that economic historians have applied to the study of war. Here I first review some of the scholarship on the premodern period, especially the formation of European nation states and conflicts. It is fairly clear that Europeans emerged out of this period with a comparative advantage in violence, through technological innovations and repeated warfare. Fiscal innovation and expansion was a key part of this. The period of the revolutions and Napoleonic conflicts represented a change in the nature of warfare and the arrival of total war, as well as the industrial age. The period of the world wars represents perhaps the best represented area of study for economic historians as of late. New data and scholarship has shown the mechanics of mobilization and highlighted the importance of resources in deciding these conflicts. Conversely, the Cold War period has been relatively sparsely studied, at least from the perspective of conflicts or military spending. Given the availability of new data and the opening of many archives, it is highly likely that this state of affairs will change in the near future. Economic historians have clearly made an impact in the study of long-run phenomena such as state formation, empires, and democracy. Cliometrics is well suited to the study of such topics, given the new panel and time series techniques, the rapid development of computing power, and the many new online databases.","","","","","10.1007/978-3-642-40458-0_4-1"
7,"","Mil2021","Mil, Rob","Interoperability and Intuitive Controls for Smart Homes","Handbook of Smart Homes, Health Care and Well-Being",,,"January","",2021,"","","http://dx.doi.org/10.1007/978-3-319-01904-8_23-1","","","","","","Springer","","","","","","","Too often, smart home technologies are seen as an innovative type of technology for expensive and upscale real estate and housing or for application in the domain of healthcare. There are three main goals for the application of smart home technologies. The first goal is to improve the level of comfort and ease of use of dwellings. The second goal is to improve the sense of safety and security inside and around a building. The third main goal is to use energy more efficiently. Despite the good intentions, the use of smart technologies at home does not automatically lead to achieving the three goals mentioned above. In addition, there are a number of requirements that need to be fulfilled in order to maximize the acceptance of such technologies by consumers. To date, the market of smart home technologies has, despite the growing number of companies and organization involved in this domain, not reached its stage of adulthood. Since the 1990s, many scenarios were laid out in which smart home technologies were portrayed as a promise for the future. Despite these positive scenarios, smart home technologies are still not daily business for many building services companies, advisers, and installers. Only when we can reach more uniformity in the domain of smart homes, we can expect a general growth of the market of smart homes. With the aging of society, there is an increasing need for more comfort and safety. But at present, there are simply too many standards, as well as producer-bound systems, which cannot, or hardly can, be combined or require the use of complicated and costly gateways. At this moment this is the most important obstacle.","","","","","10.1007/978-3-319-01904-8_23-1"
7,"","Roth2021","Roth, Wolff-Michael","Socio-Cultural Perspectives on Learning Science","Encyclopedia of Science Education",,,"January","",2021,"","","http://dx.doi.org/10.1007/978-94-007-6165-0_134-3","","","","","","Springer","","","","","","","","","","","","10.1007/978-94-007-6165-0_134-3"
7,"","Moser2021","Moser, Matthias; Sentko, Anke; Alexiou, Hélène","Inulin and Health Benefits","Polysaccharides",,,"January","",2021,"","","http://dx.doi.org/10.1007/978-3-319-03751-6_37-1","","","","","","Springer","","","","","","","Inulin-type fructans are prebiotic dietary fibers, naturally occurring in numerous plants. The chicory root with its high content of inulin-type fructans is the most common basis for gaining inulin from the plant. The process applied is a hot water extraction. This means, contrary to a number of commercially available dietary fibers, inulin is not synthesized but occurs naturally and was eaten by mankind 100,000 years ago. The colon, the main place of action of inulin-type fructans, is a highly active metabolic organ, containing an excessively complex collection of microbes. Inulin-type fructans are nondigestible in the small intestine and fermented in the large intestine, resulting in modifications in the colonic microbiota composition, towards a healthier pattern, and in the production of several metabolites. Thereby, they are among the very few scientifically proven prebiotics. Several health effects are related to this activity in the colon. They may range from local effects, starting with improvement of bowel movement, effects related to local immunity, to more systemic benefits for the body, as a result of the metabolic events, like weight and blood sugar management and bone health. This book chapter aims at providing a comprehensive review of the physiology related to inulin-type fructans and the health benefits related to this. Current developments in understanding the role of the microbiota in health and disease will probably also further contribute to understanding these complex influences originating from the gut and the role “colonic nutrients” such as prebiotic dietary fibers may play therein.","","","","","10.1007/978-3-319-03751-6_37-1"
